input_file,abstract_probability,intro_probability,conclusion_probability
PMC32163.xml,0.0059,0.28802999999999995,0.0458
PMC32169.xml,0.4579,0.3723818181818182,0.07373333333333333
PMC32170.xml,0.0274,0.42241874999999995,0.1562
PMC32172.xml,0.0046,0.04605454545454546,0.01475
PMC32173.xml,0.4535666666666667,0.3555263157894737,0.07571111111111112
PMC32174.xml,0.58745,0.6601545454545455,0.4343333333333333
PMC32180.xml,0.1642,0.3297636363636363,0.06496666666666667
PMC32181.xml,0.2764,0.2305428571428571,0.18826666666666667
PMC32182.xml,0.7118,0.18601875,0.49870000000000003
PMC32183.xml,0.9552,0.25083529411764705,0.30689999999999995
PMC32187.xml,0.0308,0.19878125000000002,0.08714285714285715
PMC32188.xml,0.0172,0.30401538461538463,0.3052333333333333
PMC32189.xml,0.04733333333333334,0.48750454545454536,0.34136666666666665
